No.    Code    Description
3719   0x0E87  A matching share could not be found so nothing was deleted.
3720   0x0E88  A bad value is in the units-per-week field of the user record.
3725   0x0E8D  An error occurred when the share was deleted.
3726   0x0E8E  The user name is invalid.
3727   0x0E8F  The password is invalid.
3728   0x0E90  The passwords do not match.
3729   0x0E91  Your persistent connections were not all restored.
3730   0x0E92  This is not a valid computer name or domain name.
3732   0x0E94  Default permissions cannot be set for that resource.
3734   0x0E96  A valid password was not entered.
3735   0x0E97  A valid name was not entered.
3736   0x0E98  The resource named cannot be shared.
3737   0x0E99  The permissions string contains invalid permissions.
3738   0x0E9A  You can only perform this operation on printers and communication devices.
3743   0x0E9F  The server is not configured for remote administration.
3752   0x0EA8  No users have sessions with this server.
3756   0x0EAC  This is an invalid response.
3757   0x0EAD  No valid response was provided.
3758   0x0EAE  The destination list provided does not match the destination list of the printer queue.
3761   0x0EB1  The time range specified ends before it starts.
3764   0x0EB4  Time supplied is not exactly on the hour.
3765   0x0EB5  12 and 24 hour time formats may not be mixed.
3767   0x0EB7  An illegal date format has been supplied.
3768   0x0EB8  An illegal day range has been supplied.
3769   0x0EB9  An illegal time range has been supplied.
3770   0x0EBA  Arguments to NET USER are invalid. Check the minimum password  length and/or arguments supplied.
3771   0x0EBB  The value for ENABLESCRIPT must be YES.
3773   0x0EBD  An illegal country/region code has been supplied.
3774   0x0EBE  The user was successfully created but could not be added  to the USERS local group.
3775   0x0EBF  The user context supplied is invalid.
3777   0x0EC1  Sending files is no longer supported.
3778   0x0EC2  You may not specify paths for ADMIN$ and IPC$ shares.
3784   0x0EC8  Only disk shares can be marked as cacheable
3802   0x0EDA  This schedule date is invalid.
3803   0x0EDB  The LANMAN root directory is unavailable.
3804   0x0EDC  The SCHED.LOG file could not be opened.
3805   0x0EDD  The Server service has not been started.
3806   0x0EDE  The AT job ID does not exist.
3807   0x0EDF  The AT schedule file is corrupted.
3808   0x0EE0  The delete failed due to a problem with the AT schedule file.
3809   0x0EE1  The command line cannot exceed 259 characters.
3810   0x0EE2  The AT schedule file could not be updated because the disk is full.
3812   0x0EE4  The AT schedule file is invalid.  Please delete the file and create a new one.
3813   0x0EE5  The AT schedule file was deleted.
3814   0x0EE6  The syntax of this command is:    AT [id] [/DELETE]  AT time [/EVERY:date | /NEXT:date] command    The AT command schedules a program command to run at a  later date and time on a server.  It also displays the  list of programs and commands scheduled to be run.    You can specify the date as M,T,W,Th,F,Sa,Su or 1-31  for the day of the month.    You can specify the time in the 24 hour HH:MM format.
3815   0x0EE7  The AT command has timed-out.  Please try again later.
3816   0x0EE8  The minimum password age for user accounts cannot be greater  than the maximum password age.
3817   0x0EE9  You have specified a value that is incompatible  with servers with down-level software. Please specify a lower value.
3901   0x0F3D  ****
3902   0x0F3E  **** unexpected end of message ****
3905   0x0F41  Press ESC to exit
3906   0x0F42  ...
3912   0x0F48  Could not locate a time-server.
3915   0x0F4B  The user's home directory could not be determined.
3916   0x0F4C  The user's home directory has not been specified.
3920   0x0F50  There are no available drive letters left.
3936   0x0F60  This computer is not currently configured to use a specific SNTP server.
3950   0x0F6E  Reissue the given operation as a cached IO operation
3953   0x0F71  The syntax is incorrect.
3960   0x0F78  You specified an invalid file number.
3961   0x0F79  You specified an invalid print job number.
3963   0x0F7B  The user or group account specified cannot be found.
3965   0x0F7D  The user was added but could not be enabled for File and Print  Services for NetWare.
3966   0x0F7E  File and Print Services for NetWare is not installed.
3967   0x0F7F  Cannot set user properties for File and Print Services for NetWare.
3969   0x0F81  NetWare compatible logon
4000   0x0FA0  WINS encountered an error while processing the command.
4001   0x0FA1  The local WINS cannot be deleted.
4002   0x0FA2  The importation from the file failed.
4003   0x0FA3  The backup failed. Was a full backup done before?
4004   0x0FA4  The backup failed. Check the directory to which you are backing the database.
4005   0x0FA5  The name does not exist in the WINS database.
4006   0x0FA6  Replication with a nonconfigured partner is not allowed.
4050   0x0FD2  The version of the supplied content information is not supported.
4051   0x0FD3  The supplied content information is malformed.
4052   0x0FD4  The requested data cannot be found in local or peer caches.
4053   0x0FD5  No more data is available or required.
4054   0x0FD6  The supplied object has not been initialized.
4055   0x0FD7  The supplied object has already been initialized.
4056   0x0FD8  A shutdown operation is already in progress.
4057   0x0FD9  The supplied object has already been invalidated.
4058   0x0FDA  An element already exists and was not replaced.
4059   0x0FDB  Can not cancel the requested operation as it has already been completed.
4060   0x0FDC  Can not perform the requested operation because it has already been carried out.
4061   0x0FDD  An operation accessed data beyond the bounds of valid data.
4062   0x0FDE  The requested version is not supported.
4063   0x0FDF  A configuration value is invalid.
4064   0x0FE0  The SKU is not licensed.
4065   0x0FE1  PeerDist Service is still initializing and will be available shortly.
4066   0x0FE2  Communication with one or more computers will be temporarily blocked due to recent errors.
4100   0x1004  The DHCP client has obtained an IP address that is already in use on the network. The local interface will be disabled until the DHCP client can obtain a new address.
4200   0x1068  The GUID passed was not recognized as valid by a WMI data provider.
4201   0x1069  The instance name passed was not recognized as valid by a WMI data provider.
4202   0x106A  The data item ID passed was not recognized as valid by a WMI data provider.
4203   0x106B  The WMI request could not be completed and should be retried.
4204   0x106C  The WMI data provider could not be located.
4205   0x106D  The WMI data provider references an instance set that has not been registered.
4206   0x106E  The WMI data block or event notification has already been enabled.
4207   0x106F  The WMI data block is no longer available.
4208   0x1070  The WMI data service is not available.
4209   0x1071  The WMI data provider failed to carry out the request.
4210   0x1072  The WMI MOF information is not valid.
4211   0x1073  The WMI registration information is not valid.
4212   0x1074  The WMI data block or event notification has already been disabled.
4213   0x1075  The WMI data item or data block is read only.
4214   0x1076  The WMI data item or data block could not be changed.
4250   0x109A  This operation is only valid in the context of an app container.
4251   0x109B  This application can only run in the context of an app container.
4252   0x109C  This functionality is not supported in the context of an app container.
4253   0x109D  The length of the SID supplied is not a valid length for app container SIDs.
4300   0x10CC  The media identifier does not represent a valid medium.
4301   0x10CD  The library identifier does not represent a valid library.
4302   0x10CE  The media pool identifier does not represent a valid media pool.
4303   0x10CF  The drive and medium are not compatible or exist in different libraries.
4304   0x10D0  The medium currently exists in an offline library and must be online to perform this operation.
4305   0x10D1  The operation cannot be performed on an offline library.
4306   0x10D2  The library, drive, or media pool is empty.
4307   0x10D3  The library, drive, or media pool must be empty to perform this operation.
4308   0x10D4  No media is currently available in this media pool or library.
4309   0x10D5  A resource required for this operation is disabled.
4310   0x10D6  The media identifier does not represent a valid cleaner.
4311   0x10D7  The drive cannot be cleaned or does not support cleaning.
4312   0x10D8  The object identifier does not represent a valid object.
4313   0x10D9  Unable to read from or write to the database.
4314   0x10DA  The database is full.
4315   0x10DB  The medium is not compatible with the device or media pool.
4316   0x10DC  The resource required for this operation does not exist.
4317   0x10DD  The operation identifier is not valid.
4318   0x10DE  The media is not mounted or ready for use.
4319   0x10DF  The device is not ready for use.
4320   0x10E0  The operator or administrator has refused the request.
4321   0x10E1  The drive identifier does not represent a valid drive.
4322   0x10E2  Library is full. No slot is available for use.
4323   0x10E3  The transport cannot access the medium.
4324   0x10E4  Unable to load the medium into the drive.
4325   0x10E5  Unable to retrieve the drive status.
4326   0x10E6  Unable to retrieve the slot status.
4327   0x10E7  Unable to retrieve status about the transport.
4328   0x10E8  Cannot use the transport because it is already in use.
4329   0x10E9  Unable to open or close the inject/eject port.
4330   0x10EA  Unable to eject the medium because it is in a drive.
4331   0x10EB  A cleaner slot is already reserved.
4332   0x10EC  A cleaner slot is not reserved.
4333   0x10ED  The cleaner cartridge has performed the maximum number of drive cleanings.
4334   0x10EE  Unexpected on-medium identifier.
4335   0x10EF  The last remaining item in this group or resource cannot be deleted.
4336   0x10F0  The message provided exceeds the maximum size allowed for this parameter.
4337   0x10F1  The volume contains system or paging files.
4338   0x10F2  The media type cannot be removed from this library since at least one drive in the library reports it can support this media type.
4339   0x10F3  This offline media cannot be mounted on this system since no enabled drives are present which can be used.
4340   0x10F4  A cleaner cartridge is present in the tape library.
4341   0x10F5  Cannot use the inject/eject port because it is not empty.
4342   0x10F6  Error
4343   0x10F7  OK
4344   0x10F8  Y
4345   0x10F9  N
4346   0x10FA  Any
4347   0x10FB  A
4348   0x10FC  P
4349   0x10FD  (not found)
4350   0x10FE  This file is currently not available for use on this computer.
4351   0x10FF  The remote storage service is not operational at this time.
4352   0x1100  The remote storage service encountered a media error.
4353   0x1101  Read
4354   0x1102  Change
4355   0x1103  Full
4356   0x1104  Please type the password:
4358   0x1106  Type a password for the user:
4359   0x1107  Type the password for the shared resource:
4360   0x1108  Type your password:
4361   0x1109  Retype the password to confirm:
4362   0x110A  Type the user's old password:
4363   0x110B  Type the user's new password:
4364   0x110C  Type your new password:
4365   0x110D  Type the Replicator service password:
4368   0x1110  Type your user name:
4372   0x1114  Print job detail
4378   0x111A  The following running services can be controlled:
4379   0x111B  Statistics are available for the following running services:
4381   0x111D  The syntax of this command is:
4382   0x111E  The options of this command are:
4383   0x111F  Please enter the name of the Primary Domain Controller:
4385   0x1121  Sunday
4386   0x1122  Monday
4387   0x1123  Tuesday
4388   0x1124  Wednesday
4389   0x1125  Thursday
4390   0x1126  The file or directory is not a reparse point.
4391   0x1127  The reparse point attribute cannot be set because it conflicts with an existing attribute.
4392   0x1128  The data present in the reparse point buffer is invalid.
4393   0x1129  The tag present in the reparse point buffer is invalid.
4394   0x112A  There is a mismatch between the tag specified in the request and the tag present in the reparse point.
4395   0x112B  The object manager encountered a reparse point while retrieving an object.
4396   0x112C  Th
4397   0x112D  F
4398   0x112E  S
4399   0x112F  Sa
4400   0x1130  Fast Cache data not found.
4401   0x1131  Fast Cache data expired.
4402   0x1132  Fast Cache data corrupt.
4403   0x1133  Fast Cache data has exceeded its max size and cannot be updated.
4404   0x1134  Fast Cache has been ReArmed and requires a reboot until it can be updated.
4406   0x1136  Alias name
4407   0x1137  Comment
4408   0x1138  Members
4411   0x113B  User name
4412   0x113C  Full Name
4413   0x113D  Comment
4414   0x113E  User's comment
4415   0x113F  Parameters
4416   0x1140  Country/region code
4417   0x1141  Privilege level
4418   0x1142  Operator privileges
4419   0x1143  Account active
4420   0x1144  Secure Boot detected that rollback of protected data has been attempted.
4421   0x1145  The value is protected by Secure Boot policy and cannot be modified or deleted.
4422   0x1146  The Secure Boot policy is invalid.
4423   0x1147  A new Secure Boot policy did not contain the current publisher on its update list.
4424   0x1148  The Secure Boot policy is either not signed or is signed by a non-trusted signer.
4425   0x1149  Secure Boot is not enabled on this machine.
4426   0x114A  Secure Boot requires that certain files and drivers are not replaced by other files or drivers.
4427   0x114B  The Secure Boot Supplemental Policy file was not authorized on this machine.
4428   0x114C  The Supplemental Policy is not recognized on this device.
4429   0x114D  The Antirollback version was not found in the Secure Boot Policy.
4430   0x114E  The Platform ID specified in the Secure Boot policy does not match the Platform ID on this device.
4431   0x114F  The Secure Boot policy file has an older Antirollback Version than this device.
4432   0x1150  The Secure Boot policy file does not match the upgraded legacy policy.
4433   0x1151  The Secure Boot policy file is required but could not be found.
4434   0x1152  Supplemental Secure Boot policy file can not be loaded as a base Secure Boot policy.
4435   0x1153  Base Secure Boot policy file can not be loaded as a Supplemental Secure Boot policy.
4436   0x1154  Home directory
4437   0x1155  Password required
4438   0x1156  User may change password
4439   0x1157  User profile
4440   0x1158  The copy offload read operation is not supported by a filter.
4441   0x1159  The copy offload write operation is not supported by a filter.
4442   0x115A  The copy offload read operation is not supported for the file.
4443   0x115B  The copy offload write operation is not supported for the file.
4444   0x115C  This file is currently associated with a different stream id.
4445   0x115D  The volume must undergo garbage collection.
4446   0x115E  The WOF driver encountered a corruption in WIM image's Header.
4447   0x115F  The WOF driver encountered a corruption in WIM image's Resource Table.
4448   0x1160  The WOF driver encountered a corruption in the compressed file's Resource Table.
4450   0x1162  Computer name
4451   0x1163  User name
4452   0x1164  Software version
4453   0x1165  Workstation active on
4454   0x1166  Windows NT root directory
4455   0x1167  Workstation domain
4456   0x1168  Logon domain
4457   0x1169  Other domain(s)
4458   0x116A  COM Open Timeout (sec)
4459   0x116B  COM Send Count (byte)
4460   0x116C  COM Send Timeout (msec)
4461   0x116D  DOS session print time-out (sec)
4462   0x116E  Maximum error log size (K)
4463   0x116F  Maximum cache memory (K)
4464   0x1170  Number of network buffers
4465   0x1171  Number of character buffers
4466   0x1172  Size of network buffers
4467   0x1173  Size of character buffers
4468   0x1174  Full Computer name
4469   0x1175  Workstation Domain DNS Name
4470   0x1176  Windows 2002
4481   0x1181  Server Name
4482   0x1182  Server Comment
4483   0x1183  Send administrative alerts to
4484   0x1184  Software version
4485   0x1185  Peer Server
4486   0x1186  Windows NT
4487   0x1187  Server Level
4488   0x1188  Windows NT Server
4489   0x1189  Server is active on
4492   0x118C  Server hidden
4500   0x1194  Single Instance Storage is not available on this volume.
4506   0x119A  Maximum Logged On Users
4507   0x119B  Maximum concurrent administrators
4508   0x119C  Maximum resources shared
4509   0x119D  Maximum connections to resources
4510   0x119E  Maximum open files on server
4511   0x119F  Maximum open files per session
4512   0x11A0  Maximum file locks
4520   0x11A8  Idle session time (min)
4526   0x11AE  Share-level
4527   0x11AF  User-level
4530   0x11B2  Unlimited Server
4550   0x11C6  System Integrity detected that policy rollback has been attempted.
4551   0x11C7  Your organization used Device Guard to block this app. Contact your support person for more info.
4552   0x11C8  The System Integrity policy is invalid.
4553   0x11C9  The System Integrity policy is either not signed or is signed by a non-trusted signer.
4554   0x11CA  The number of System Integrity policies is out of limit.
4555   0x11CB  The Code Integrity supplemental policy is not authorized by a Code Integrity base policy.
4560   0x11D0  Virtual Secure Mode (VSM) is not initialized. The hypervisor or VSM may not be present or enabled.
4561   0x11D1  The hypervisor is not protecting DMA because an IOMMU is not present or not enabled in the BIOS.
4570   0x11DA  The Platform Manifest file was not authorized on this machine.
4571   0x11DB  The Platform Manifest file was not valid.
4572   0x11DC  The file is not authorized on this platform because an entry was not found in the Platform Manifest.
4573   0x11DD  The catalog is not authorized on this platform because an entry was not found in the Platform Manifest.
4574   0x11DE  The file is not authorized on this platform because a Binary ID was not found in the embedded signature.
4575   0x11DF  No active Platform Manifest exists on this system.
4576   0x11E0  The Platform Manifest file was not properly signed.
4577   0x11E1  Primary Domain controller for workstation domain:
4578   0x11E2  Lockout threshold:
4579   0x11E3  Lockout duration (minutes):
4580   0x11E4  Lockout observation window (minutes):
4600   0x11F8  Statistics since
4601   0x11F9  Sessions accepted
4602   0x11FA  Sessions timed-out
4603   0x11FB  Sessions errored-out
4604   0x11FC  Kilobytes sent
4605   0x11FD  Kilobytes received
4606   0x11FE  Mean response time (msec)
4607   0x11FF  Network errors
4608   0x1200  Files accessed
4609   0x1201  Print jobs spooled
4610   0x1202  System errors
4611   0x1203  Password violations
4612   0x1204  Permission violations
4613   0x1205  Communication devices accessed
4614   0x1206  Sessions started
4615   0x1207  Sessions reconnected
4616   0x1208  Sessions starts failed
4617   0x1209  Sessions disconnected
4618   0x120A  Network I/O's performed
4619   0x120B  Files and pipes accessed
4620   0x120C  Times buffers exhausted
4621   0x120D  Big buffers
4622   0x120E  Request buffers
4626   0x1212  Connections made
4627   0x1213  Connections failed
4630   0x1216  Bytes received
4631   0x1217  Server Message Blocks (SMBs) received
4632   0x1218  Bytes transmitted
4633   0x1219  Server Message Blocks (SMBs) transmitted
4634   0x121A  Read operations
4635   0x121B  Write operations
4636   0x121C  Raw reads denied
4637   0x121D  Raw writes denied
4638   0x121E  Network errors
4639   0x121F  Connections made
4640   0x1220  Reconnections made
4641   0x1221  Server disconnects
4642   0x1222  Sessions started
4643   0x1223  Hung sessions
4644   0x1224  Failed sessions
4645   0x1225  Failed operations
4646   0x1226  Use count
4647   0x1227  Failed use count
4655   0x122F  The message name forwarding was successfully canceled.
4661   0x1235  The password was changed successfully.
4664   0x1238  The message was successfully sent to all users of the network.
4666   0x123A  The message was successfully sent to all users of this server.
4696   0x1258  Windows NT Server
4697   0x1259  Windows NT Workstation
4698   0x125A  MS-DOS Enhanced Workstation
4700   0x125C  Server Name            Remark
4701   0x125D  Cannot enumerate servers in non-default compartment.
4702   0x125E  (UNC)
4703   0x125F  ...
4704   0x1260  Domain
4706   0x1262  Invalid network provider.  Available networks are:
4710   0x1266  Disk
4711   0x1267  Print
4712   0x1268  Comm
4713   0x1269  IPC
4714   0x126A  Status       Local     Remote                    Network
4715   0x126B  OK
4716   0x126C  Dormant
4717   0x126D  Paused
4718   0x126E  Disconnected
4719   0x126F  Error
4720   0x1270  Connecting
4721   0x1271  Reconnecting
4722   0x1272  Status
4723   0x1273  Local name
4724   0x1274  Remote name
4725   0x1275  Resource type
4726   0x1276  # Opens
4727   0x1277  # Connections
4728   0x1278  Unavailable
4730   0x127A  Share name   Resource                        Remark
4731   0x127B  Share name
4732   0x127C  Resource
4733   0x127D  Spooled
4734   0x127E  Permission
4735   0x127F  Maximum users
4736   0x1280  No limit
4737   0x1281  Users
4739   0x1283  Caching
4740   0x1284  ID         Path                                    User name            # Locks
4741   0x1285  File ID
4742   0x1286  Locks
4743   0x1287  Permissions
4744   0x1288  Share name
4745   0x1289  Type
4746   0x128A  Used as
4747   0x128B  Comment
4750   0x128E  Computer               User name            Client Type       Opens Idle time
4751   0x128F  Computer
4752   0x1290  Sess time
4753   0x1291  Idle time
4754   0x1292  Share name     Type     # Opens
4755   0x1293  Client type
4756   0x1294  Guest logon
4770   0x12A2  Manual caching of documents
4771   0x12A3  Automatic caching of documents
4772   0x12A4  Automatic caching of programs and documents
4773   0x12A5  Manual caching of documents with BranchCache enabled
4774   0x12A6  Caching disabled
4775   0x12A7  Automatic
4776   0x12A8  Manual
4777   0x12A9  Documents
4778   0x12AA  Programs
4779   0x12AB  BranchCache
4780   0x12AC  None
4800   0x12C0  Name
4801   0x12C1  Forwarded to
4802   0x12C2  Forwarded to you from
4803   0x12C3  Users of this server
4804   0x12C4  Net Send has been interrupted by a Ctrl+Break from the user.
4810   0x12CA  Name                         Job #      Size            Status
4811   0x12CB  jobs
4812   0x12CC  Print
4813   0x12CD  Name
4814   0x12CE  Job #
4815   0x12CF  Size
4816   0x12D0  Status
4817   0x12D1  Separator file
4818   0x12D2  Comment
4819   0x12D3  Priority
4820   0x12D4  Print after
4821   0x12D5  Print until
4822   0x12D6  Print processor
4823   0x12D7  Additional info
4824   0x12D8  Parameters
4825   0x12D9  Print Devices
4826   0x12DA  Printer Active
4827   0x12DB  Printer held
4828   0x12DC  Printer error
4829   0x12DD  Printer being deleted
4830   0x12DE  Printer status unknown
4841   0x12E9  Job #
4842   0x12EA  Submitting user
4843   0x12EB  Notify
4844   0x12EC  Job data type
4845   0x12ED  Job parameters
4846   0x12EE  Waiting
4847   0x12EF  Held in queue
4848   0x12F0  Spooling
4849   0x12F1  Paused
4850   0x12F2  Offline
4851   0x12F3  Error
4852   0x12F4  Out of paper
4853   0x12F5  Intervention required
4854   0x12F6  Printing
4855   0x12F7  on
4862   0x12FE  Driver
4930   0x1342  User name              Type                 Date
4931   0x1343  Lockout
4932   0x1344  Service
4933   0x1345  Server
4934   0x1346  Server started
4935   0x1347  Server paused
4936   0x1348  Server continued
4937   0x1349  Server stopped
4938   0x134A  Session
4939   0x134B  Logon Guest
4940   0x134C  Logon User
4941   0x134D  Logon Administrator
4942   0x134E  Logoff normal
4943   0x134F  Logon
4944   0x1350  Logoff error
4945   0x1351  Logoff auto-disconnect
4946   0x1352  Logoff administrator-disconnect
4947   0x1353  Logoff forced by logon restrictions
4948   0x1354  Service
4957   0x135D  Account
4964   0x1364  Account system settings were modified
4965   0x1365  Logon restriction
4966   0x1366  Limit exceeded:  UNKNOWN
4967   0x1367  Limit exceeded:  Logon hours
4968   0x1368  Limit exceeded:  Account expired
4969   0x1369  Limit exceeded:  Workstation ID invalid
4970   0x136A  Limit exceeded:  Account disabled
4971   0x136B  Limit exceeded:  Account deleted
4972   0x136C  Share
4978   0x1372  Bad password
4979   0x1373  Administrator privilege required
4980   0x1374  Access
4984   0x1378  Access denied
4985   0x1379  Unknown
4986   0x137A  Other
4987   0x137B  Duration:
4988   0x137C  Duration: Not available
4989   0x137D  Duration: Less than one second
4990   0x137E  (none)
4994   0x1382  Access ended
4995   0x1383  Log on to network
4996   0x1384  Logon denied
4997   0x1385  Program             Message             Time
4999   0x1387  Account unlocked by administrator
5000   0x1388  Log off network
5001   0x1389  The operation cannot be completed because other resources are dependent on this resource.
5002   0x138A  The cluster resource dependency cannot be found.
5003   0x138B  The cluster resource cannot be made dependent on the specified resource because it is already dependent.
5004   0x138C  The cluster resource is not online.
5005   0x138D  A cluster node is not available for this operation.
5006   0x138E  The cluster resource is not available.
5007   0x138F  The cluster resource could not be found.
5008   0x1390  The cluster is being shut down.
5009   0x1391  A cluster node cannot be evicted from the cluster unless the node is down or it is the last node.
5010   0x1392  The object already exists.
5011   0x1393  The object is already in the list.
5012   0x1394  The cluster group is not available for any new requests.
5013   0x1395  The cluster group could not be found.
5014   0x1396  The operation could not be completed because the cluster group is not online.
5015   0x1397  The operation failed because either the specified cluster node is not the owner of the resource, or the node is not a possible owner of the resource.
5016   0x1398  The operation failed because either the specified cluster node is not the owner of the group, or the node is not a possible owner of the group.
5017   0x1399  The cluster resource could not be created in the specified resource monitor.
5018   0x139A  The cluster resource could not be brought online by the resource monitor.
5019   0x139B  The operation could not be completed because the cluster resource is online.
5020   0x139C  The cluster resource could not be deleted or brought offline because it is the quorum resource.
5021   0x139D  The cluster could not make the specified resource a quorum resource because it is not capable of being a quorum resource.
5022   0x139E  The cluster software is shutting down.
5023   0x139F  The group or resource is not in the correct state to perform the requested operation.
5024   0x13A0  The properties were stored but not all changes will take effect until the next time the resource is brought online.
5025   0x13A1  The cluster could not make the specified resource a quorum resource because it does not belong to a shared storage class.
5026   0x13A2  The cluster resource could not be deleted since it is a core resource.
5027   0x13A3  The quorum resource failed to come online.
5028   0x13A4  The quorum log could not be created or mounted successfully.
5029   0x13A5  The cluster log is corrupt.
5030   0x13A6  The record could not be written to the cluster log since it exceeds the maximum size.
5031   0x13A7  The cluster log exceeds its maximum size.
5032   0x13A8  No checkpoint record was found in the cluster log.
5033   0x13A9  The minimum required disk space needed for logging is not available.
5034   0x13AA  The cluster node failed to take control of the quorum resource because the resource is owned by another active node.
5035   0x13AB  A cluster network is not available for this operation.
5036   0x13AC  A cluster node is not available for this operation.
5037   0x13AD  All cluster nodes must be running to perform this operation.
5038   0x13AE  A cluster resource failed.
5039   0x13AF  The cluster node is not valid.
5040   0x13B0  The cluster node already exists.
5041   0x13B1  A node is in the process of joining the cluster.
5042   0x13B2  The cluster node was not found.
5043   0x13B3  The cluster local node information was not found.
5044   0x13B4  The cluster network already exists.
5045   0x13B5  The cluster network was not found.
5046   0x13B6  The cluster network interface already exists.
5047   0x13B7  The cluster network interface was not found.
5048   0x13B8  The cluster request is not valid for this object.
5049   0x13B9  The cluster network provider is not valid.
5050   0x13BA  The cluster node is down.
5051   0x13BB  The cluster node is not reachable.
5052   0x13BC  The cluster node is not a member of the cluster.
5053   0x13BD  A cluster join operation is not in progress.
5054   0x13BE  The cluster network is not valid.
5055   0x13BF  Mar
5056   0x13C0  The cluster node is up.
5057   0x13C1  The cluster IP address is already in use.
5058   0x13C2  The cluster node is not paused.
5059   0x13C3  No cluster security context is available.
5060   0x13C4  The cluster network is not configured for internal cluster communication.
5061   0x13C5  The cluster node is already up.
5062   0x13C6  The cluster node is already down.
5063   0x13C7  The cluster network is already online.
5064   0x13C8  The cluster network is already offline.
5065   0x13C9  The cluster node is already a member of the cluster.
5066   0x13CA  The cluster network is the only one configured for internal cluster communication between two or more active cluster nodes. The internal communication capability cannot be removed from the network.
5067   0x13CB  One or more cluster resources depend on the network to provide service to clients. The client access capability cannot be removed from the network.
5068   0x13CC  This operation cannot currently be performed on the cluster group containing the quorum resource.
5069   0x13CD  The cluster quorum resource is not allowed to have any dependencies.
5070   0x13CE  The cluster node is paused.
5071   0x13CF  The cluster resource cannot be brought online. The owner node cannot run this resource.
5072   0x13D0  The cluster node is not ready to perform the requested operation.
5073   0x13D1  The cluster node is shutting down.
5074   0x13D2  The cluster join operation was aborted.
5075   0x13D3  The node failed to join the cluster because the joining node and other nodes in the cluster have incompatible operating system versions. To get more information about operating system versions of the cluster, run the Validate a Configuration Wizard or the Test-Cluster Windows PowerShell cmdlet.
5076   0x13D4  This resource cannot be created because the cluster has reached the limit on the number of resources it can monitor.
5077   0x13D5  The system configuration changed during the cluster join or form operation. The join or form operation was aborted.
5078   0x13D6  The specified resource type was not found.
5079   0x13D7  The specified node does not support a resource of this type. This may be due to version inconsistencies or due to the absence of the resource DLL on this node.
5080   0x13D8  The specified resource name is not supported by this resource DLL. This may be due to a bad (or changed) name supplied to the resource DLL.
5081   0x13D9  No authentication package could be registered with the RPC server.
5082   0x13DA  You cannot bring the group online because the owner of the group is not in the preferred list for the group. To change the owner node for the group, move the group.
5083   0x13DB  The join operation failed because the cluster database sequence number has changed or is incompatible with the locker node. This may happen during a join operation if the cluster database was changing during the join.
5084   0x13DC  The resource monitor will not allow the fail operation to be performed while the resource is in its current state. This may happen if the resource is in a pending state.
5085   0x13DD  A non locker code got a request to reserve the lock for making global updates.
5086   0x13DE  The quorum disk could not be located by the cluster service.
5087   0x13DF  The backed up cluster database is possibly corrupt.
5088   0x13E0  A DFS root already exists in this cluster node.
5089   0x13E1  An attempt to modify a resource property failed because it conflicts with another existing property.
5090   0x13E2  This operation is not supported on a cluster without an Administrator Access Point.
5091   0x13E3  Denmark
5092   0x13E4  Sweden
5093   0x13E5  Norway
5094   0x13E6  Germany
5095   0x13E7  Australia
5096   0x13E8  Japan
5097   0x13E9  Korea
5098   0x13EA  China (PRC)
5099   0x13EB  Taiwan
5100   0x13EC  Asia
5101   0x13ED  Portugal
5102   0x13EE  Finland
5103   0x13EF  Arabic
5104   0x13F0  Hebrew
5153   0x1421  The UPS service is about to perform final shut down.
5170   0x1432  The Workstation must be started with the NET START command.
5175   0x1437  Remote IPC
5176   0x1438  Remote Admin
5177   0x1439  Default share
5178   0x143A  User Profiles
5291   0x14AB  Never
5292   0x14AC  Never
5293   0x14AD  Never
5295   0x14AF  NET.HLP
5296   0x14B0  NET.HLP
5297   0x14B1  Deny
5300   0x14B4  The network control block (NCB) request completed successfully.  The NCB is the data.
5301   0x14B5  Illegal network control block (NCB) buffer length on SEND DATAGRAM,  SEND BROADCAST, ADAPTER STATUS, or SESSION STATUS.  The NCB is the data.
5302   0x14B6  The data descriptor array specified in the network control block (NCB) is  invalid.  The NCB is the data.
5303   0x14B7  The command specified in the network control block (NCB) is illegal.  The NCB is the data.
5304   0x14B8  The message correlator specified in the network control block (NCB) is  invalid.  The NCB is the data.
5305   0x14B9  A network control block (NCB) command timed-out.  The session may have  terminated abnormally.  The NCB is the data.
5306   0x14BA  An incomplete network control block (NCB) message was received.  The NCB is the data.
5307   0x14BB  The buffer address specified in the network control block (NCB) is illegal.  The NCB is the data.
5308   0x14BC  The session number specified in the network control block (NCB) is not active.  The NCB is the data.
5309   0x14BD  No resource was available in the network adapter.  The network control block (NCB) request was refused.  The NCB is the data.
5310   0x14BE  The session specified in the network control block (NCB) was closed.  The NCB is the data.
5311   0x14BF  The network control block (NCB) command was canceled.  The NCB is the data.
5312   0x14C0  The message segment specified in the network control block (NCB) is  illogical.  The NCB is the data.
5313   0x14C1  The name already exists in the local adapter name table.  The network control block (NCB) request was refused.  The NCB is the data.
5314   0x14C2  The network adapter name table is full.  The network control block (NCB) request was refused.  The NCB is the data.
5315   0x14C3  The network name has active sessions and is now de-registered.  The network control block (NCB) command completed.  The NCB is the data.
5316   0x14C4  A previously issued Receive Lookahead command is active  for this session.  The network control block (NCB) command was rejected.  The NCB is the data.
5317   0x14C5  The local session table is full. The network control block (NCB) request was refused.  The NCB is the data.
